" ";" ";" ";" ";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"25-59 �r"
" ";"K�n i alt"
" ";" ";"Hele landet"
" ";" ";" ";"Atletik";12840;8280;3920;3020;2670;2590;2460;3210;2400
" ";" ";" ";"Amerikansk fodbold";820;890;990;1000;920;930;930;970;910
" ";" ";" ";"Badminton";63880;59350;58620;57060;55460;53710;51840;49190;49160
" ";" ";" ";"Basketball";3170;3120;3530;3440;4010;4160;4320;4230;4590
" ";" ";" ";"Bordtennis";4130;4150;3990;3950;4010;4090;3640;3420;3570
" ";" ";" ";"Cykling";36880;39400;39190;38100;37120;35320;34110;32840;29680
" ";" ";" ";"Dans";13720;12480;12700;12490;11300;11290;9340;9430;9840
" ";" ";" ";"Esport";..;..;..;340;790;1250;1370;1680;1800
" ";" ";" ";"Fitness";99920;103360;130980;129880;137840;140750;128490;116670;125420
" ";" ";" ";"Fodbold";97240;98010;95900;96030;101740;101790;96860;102330;101580
" ";" ";" ";"Gymnastik";77460;73670;55800;53180;50540;50470;44950;42880;47700
" ";" ";" ";"H�ndbold";22830;22640;22320;22370;22960;22750;22640;21160;22780
" ";" ";" ";"Ishockey";1430;1500;1550;1760;1860;2170;2440;2500;2380
" ";" ";" ";"L�b";49510;50900;52370;49110;47280;55860;44520;43320;41460
" ";" ";" ";"Padel";..;..;..;..;..;..;..;7970;14090
" ";" ";" ";"Ridning";22430;22530;21930;21350;21170;20850;20180;20240;20310
" ";" ";" ";"Roning";7340;6960;6760;6670;6460;6250;5630;5850;5770
" ";" ";" ";"Sv�mning";40360;43210;44030;53050;52970;56760;54420;56600;67580
" ";" ";" ";"Tennis";32100;30520;29620;29560;30340;31350;38550;37380;36190
" ";" ";" ";"V�gtl�ftning";6280;3700;4960;4560;6030;6410;6310;6020;6400

